,prdtypecode,target
692,2583,12
693,10,0
694,60,19
695,2705,4
696,1160,16
697,40,18
698,1280,3
699,2060,17
700,2585,24
701,2583,12
702,1940,25
703,10,0
704,2522,5
705,2705,4
706,2280,1
707,1140,11
708,2060,17
709,2585,24
710,1320,20
711,2522,5
712,2583,12
713,2522,5
714,1560,7
715,2583,12
716,1302,21
717,2060,17
718,1560,7
719,2583,12
720,2583,12
721,1180,13
722,2583,12
723,2583,12
724,1940,25
725,1560,7
726,2522,5
727,40,18
728,1320,20
729,1302,21
730,2583,12
731,1320,20
732,1560,7
733,1281,8
734,2280,1
735,2403,10
736,1300,14
737,2585,24
738,1160,16
739,2403,10
740,2583,12
741,2583,12
742,2403,10
743,1160,16
744,1140,11
745,2905,23
746,2583,12
747,1180,13
748,2522,5
749,2583,12
750,1160,16
751,1320,20
752,40,18
753,1140,11
754,2403,10
755,1300,14
756,1280,3
757,2583,12
758,1560,7
759,2585,24
760,1300,14
761,2585,24
762,1280,3
763,2060,17
764,1180,13
765,2462,15
766,2280,1
767,2060,17
768,1560,7
769,1560,7
770,2403,10
771,2522,5
772,1300,14
773,2280,1
774,2705,4
775,2585,24
776,50,2
777,2705,4
778,2585,24
779,1300,14
780,2060,17
781,2583,12
782,1320,20
783,1280,3
784,1920,9
785,50,2
786,2522,5
787,2403,10
788,2522,5
789,2522,5
790,2583,12
791,1300,14
792,2060,17
793,2583,12
794,2280,1
795,2403,10
796,1300,14
797,2583,12
798,1300,14
799,2905,23
800,2582,6
801,1160,16
802,1920,9
803,2403,10
804,1302,21
805,2585,24
806,2582,6
807,2583,12
808,2582,6
809,1160,16
810,1140,11
811,2583,12
812,2403,10
813,2060,17
814,1160,16
815,1280,3
816,2582,6
817,2583,12
818,2583,12
819,1302,21
820,1302,21
821,1300,14
822,2280,1
823,1280,3
824,2060,17
825,2522,5
826,2583,12
827,2462,15
828,2582,6
829,40,18
830,2060,17
831,1160,16
832,2522,5
833,2522,5
834,1140,11
835,2522,5
836,2403,10
837,10,0
838,1281,8
839,1920,9
840,2583,12
841,1281,8
842,2403,10
843,2280,1
844,1320,20
845,1280,3
846,2280,1
847,2522,5
848,2583,12
849,2522,5
850,2582,6
851,1280,3
852,2280,1
853,2522,5
854,2522,5
855,1302,21
856,1280,3
857,1280,3
858,1281,8
859,40,18
860,1302,21
861,2522,5
862,2582,6
863,1920,9
864,2705,4
865,2522,5
866,1280,3
867,2583,12
868,1160,16
869,1560,7
870,2582,6
871,2705,4
872,2582,6
873,2403,10
874,2582,6
875,2583,12
876,1302,21
877,2280,1
878,2403,10
879,2705,4
880,1560,7
881,2583,12
882,1320,20
883,2583,12
884,1281,8
885,1560,7
886,1281,8
887,1920,9
888,1920,9
889,1140,11
890,2583,12
891,2060,17
892,2462,15
893,1160,16
894,50,2
895,2280,1
896,2403,10
897,1300,14
898,2522,5
899,2060,17
900,2462,15
901,1300,14
902,2522,5
903,1920,9
904,2060,17
905,1920,9
906,2280,1
907,2583,12
908,1560,7
909,1300,14
910,2403,10
911,2583,12
912,2583,12
913,1281,8
914,2583,12
915,2060,17
916,1140,11
917,1280,3
918,1160,16
919,2583,12
920,2403,10
921,2583,12
922,2583,12
923,1160,16
924,2220,22
925,1560,7
926,1280,3
927,2583,12
928,2583,12
929,10,0
930,1281,8
931,1560,7
932,40,18
933,1302,21
934,2583,12
935,2060,17
936,2582,6
937,1560,7
938,1320,20
939,2403,10
940,2060,17
941,2280,1
942,1560,7
943,1920,9
944,40,18
945,1301,26
946,2583,12
947,2403,10
948,2585,24
949,2403,10
950,50,2
951,50,2
952,2705,4
953,2585,24
954,2583,12
955,1560,7
956,2582,6
957,2403,10
958,50,2
959,1920,9
960,1140,11
961,1300,14
962,1560,7
963,1320,20
964,2583,12
965,1160,16
966,1300,14
967,1560,7
968,2403,10
969,2583,12
970,60,19
971,1280,3
972,1560,7
973,2583,12
974,1300,14
975,2060,17
976,2522,5
977,1300,14
978,1280,3
979,2280,1
980,2583,12
981,2280,1
982,2583,12
983,2060,17
984,2582,6
985,2582,6
986,2220,22
987,1281,8
988,50,2
989,1301,26
990,1320,20
991,2583,12
992,1920,9
993,2583,12
994,2583,12
995,2583,12
996,1300,14
997,1280,3
998,1560,7
999,1180,13
1000,2403,10
1001,1300,14
1002,2583,12
1003,1560,7
1004,10,0
1005,1160,16
1006,1300,14
1007,1320,20
1008,1302,21
1009,1320,20
1010,2583,12
1011,50,2
1012,40,18
1013,10,0
1014,50,2
1015,2403,10
1016,2583,12
1017,2280,1
1018,1320,20
1019,2280,1
1020,2905,23
1021,2403,10
1022,1920,9
1023,2705,4
1024,2403,10
1025,1920,9
1026,2522,5
1027,10,0
1028,2585,24
1029,1302,21
1030,1300,14
1031,1320,20
1032,1180,13
1033,1160,16
1034,50,2
1035,2403,10
1036,1160,16
1037,2585,24
1038,2060,17
1039,40,18
1040,1920,9
1041,1302,21
1042,10,0
1043,2522,5
1044,1920,9
1045,2582,6
1046,2522,5
1047,2583,12
1048,2585,24
1049,2220,22
1050,1280,3
1051,1281,8
1052,2280,1
1053,10,0
1054,1280,3
1055,1300,14
1056,40,18
1057,1302,21
1058,2522,5
1059,2522,5
1060,1320,20
1061,1160,16
1062,10,0
1063,1302,21
1064,2280,1
1065,1140,11
1066,2522,5
1067,2403,10
1068,2705,4
1069,1280,3
1070,2583,12
1071,2583,12
1072,2522,5
1073,1300,14
1074,2522,5
1075,1560,7
1076,1160,16
1077,2403,10
1078,1560,7
1079,2060,17
1080,1300,14
1081,2522,5
1082,1300,14
1083,50,2
1084,1302,21
1085,2905,23
1086,1300,14
1087,2583,12
1088,2060,17
1089,1160,16
1090,2583,12
1091,50,2
1092,50,2
1093,1281,8
1094,1281,8
1095,1920,9
1096,1560,7
1097,1160,16
1098,2583,12
1099,2582,6
1100,1320,20
1101,1160,16
1102,2585,24
1103,2403,10
1104,1160,16
1105,1300,14
1106,2705,4
1107,2403,10
1108,2705,4
1109,50,2
1110,2280,1
1111,2060,17
1112,1280,3
1113,2060,17
1114,2583,12
1115,2522,5
1116,2060,17
1117,1560,7
1118,2403,10
1119,50,2
1120,2905,23
1121,1302,21
1122,1300,14
1123,2583,12
1124,2905,23
1125,2705,4
1126,2583,12
1127,2060,17
1128,1560,7
1129,10,0
1130,2522,5
1131,2522,5
1132,2905,23
1133,1320,20
1134,2403,10
1135,1920,9
1136,2220,22
1137,1300,14
1138,60,19
1139,1180,13
1140,2403,10
1141,2705,4
1142,1560,7
1143,1560,7
1144,1560,7
1145,1560,7
1146,1560,7
1147,2060,17
1148,2585,24
1149,2583,12
1150,1180,13
1151,2060,17
1152,40,18
1153,2462,15
1154,2583,12
1155,2280,1
1156,1302,21
1157,2705,4
1158,1560,7
1159,1160,16
1160,1320,20
1161,1320,20
1162,2583,12
1163,2705,4
1164,1281,8
1165,1920,9
1166,2705,4
1167,2585,24
1168,2403,10
1169,40,18
1170,1560,7
1171,2905,23
1172,1140,11
1173,2280,1
1174,2060,17
1175,2582,6
1176,10,0
1177,2060,17
1178,60,19
1179,2583,12
1180,1140,11
1181,1320,20
1182,2462,15
1183,2522,5
1184,2583,12
1185,10,0
1186,1300,14
1187,2220,22
1188,1920,9
1189,2522,5
1190,1300,14
1191,2462,15
1192,2583,12
1193,1560,7
1194,2583,12
1195,2403,10
1196,2522,5
1197,2280,1
1198,2585,24
1199,2522,5
1200,2585,24
1201,1560,7
1202,2403,10
1203,1280,3
1204,1280,3
1205,1300,14
1206,2585,24
1207,40,18
1208,10,0
1209,1300,14
1210,1300,14
1211,1302,21
1212,2403,10
1213,2403,10
1214,1160,16
1215,2583,12
1216,2522,5
1217,2220,22
1218,10,0
1219,1180,13
1220,1560,7
1221,10,0
1222,2905,23
1223,1320,20
1224,2583,12
1225,2583,12
1226,2582,6
1227,1140,11
1228,1320,20
1229,1560,7
1230,10,0
1231,50,2
1232,2522,5
1233,2280,1
1234,1300,14
1235,2583,12
1236,2060,17
1237,1160,16
1238,1560,7
1239,1300,14
1240,2280,1
1241,1280,3
1242,2583,12
1243,1920,9
1244,2280,1
1245,2582,6
1246,1300,14
1247,2280,1
1248,1320,20
1249,2522,5
1250,2583,12
1251,1560,7
1252,1281,8
1253,1560,7
1254,50,2
1255,2582,6
1256,1560,7
1257,2583,12
1258,2522,5
1259,2583,12
1260,2220,22
1261,1160,16
1262,2582,6
1263,2583,12
1264,2280,1
1265,1300,14
1266,2462,15
1267,2583,12
1268,2403,10
1269,2522,5
1270,50,2
1271,1300,14
1272,2582,6
1273,1140,11
1274,2280,1
1275,2403,10
1276,1280,3
1277,2220,22
1278,1281,8
1279,2583,12
1280,1140,11
1281,1140,11
1282,2583,12
1283,1940,25
1284,2060,17
1285,50,2
1286,1140,11
1287,1920,9
1288,2582,6
1289,1140,11
1290,2220,22
1291,1281,8
1292,1920,9
1293,1280,3
1294,2220,22
1295,2060,17
1296,40,18
1297,2060,17
1298,1280,3
1299,1140,11
1300,1300,14
1301,2280,1
1302,1140,11
1303,2060,17
1304,2583,12
1305,50,2
1306,1560,7
1307,1940,25
1308,2280,1
1309,1180,13
1310,2583,12
1311,1300,14
1312,1320,20
1313,1280,3
1314,2280,1
1315,2583,12
1316,1320,20
1317,1281,8
1318,1300,14
1319,2583,12
1320,2403,10
1321,2403,10
1322,1300,14
1323,1180,13
1324,1940,25
1325,2705,4
1326,1140,11
1327,2060,17
1328,1300,14
1329,2583,12
1330,1560,7
1331,2522,5
1332,1560,7
1333,1301,26
1334,2280,1
1335,40,18
1336,1300,14
1337,1281,8
1338,2280,1
1339,2060,17
1340,1160,16
1341,2403,10
1342,1320,20
1343,1280,3
1344,1920,9
1345,2403,10
1346,2582,6
1347,2583,12
1348,1280,3
1349,1302,21
1350,2522,5
1351,1560,7
1352,2522,5
1353,1300,14
1354,2403,10
1355,1920,9
1356,2403,10
1357,2522,5
1358,1920,9
1359,1280,3
1360,2583,12
1361,1920,9
1362,1280,3
1363,1160,16
1364,2060,17
1365,50,2
1366,2280,1
1367,1280,3
1368,2280,1
1369,10,0
1370,1301,26
1371,2583,12
1372,1280,3
1373,1280,3
1374,2280,1
1375,2705,4
1376,10,0
1377,1302,21
1378,1280,3
1379,1920,9
1380,1300,14
1381,1560,7
1382,2585,24
1383,1560,7
1384,2060,17
1385,1920,9
1386,1160,16
1387,1302,21
1388,2060,17
1389,2582,6
1390,1140,11
1391,1280,3
1392,1160,16
1393,60,19
1394,1301,26
1395,2522,5
1396,2060,17
1397,2522,5
1398,2403,10
1399,1560,7
1400,60,19
1401,1280,3
1402,40,18
1403,1300,14
1404,2060,17
1405,1560,7
1406,2585,24
1407,1160,16
1408,2280,1
1409,1560,7
1410,1560,7
1411,1160,16
1412,2403,10
1413,2280,1
1414,2403,10
1415,2462,15
1416,1920,9
1417,10,0
1418,1140,11
1419,2582,6
1420,2583,12
1421,2522,5
1422,2585,24
1423,2403,10
1424,2585,24
1425,1280,3
1426,2403,10
1427,2583,12
1428,2585,24
1429,2522,5
1430,1280,3
1431,2583,12
1432,2060,17
1433,2905,23
1434,2403,10
1435,2403,10
1436,2705,4
1437,1140,11
1438,1280,3
1439,2403,10
1440,1160,16
1441,2060,17
1442,1560,7
1443,2462,15
1444,1140,11
1445,1560,7
1446,2582,6
1447,1302,21
1448,2060,17
1449,2403,10
1450,1140,11
1451,2522,5
1452,1560,7
1453,2522,5
1454,1940,25
1455,2522,5
1456,1560,7
1457,1560,7
1458,1300,14
1459,2280,1
1460,2705,4
1461,2280,1
1462,10,0
1463,2280,1
1464,2462,15
1465,2280,1
1466,1560,7
1467,2583,12
1468,1940,25
1469,1280,3
1470,2060,17
1471,2280,1
1472,1160,16
1473,2583,12
1474,1560,7
1475,1920,9
1476,2583,12
1477,1320,20
1478,2462,15
1479,1300,14
1480,2582,6
1481,50,2
1482,1302,21
1483,2585,24
1484,60,19
1485,2280,1
1486,2583,12
1487,2220,22
1488,1280,3
1489,1560,7
1490,2403,10
1491,2583,12
1492,1180,13
1493,1300,14
1494,2705,4
1495,2705,4
1496,1140,11
1497,2585,24
1498,2705,4
1499,1160,16
1500,2522,5
1501,1160,16
1502,2403,10
1503,2583,12
1504,1280,3
1505,1920,9
1506,2060,17
1507,2582,6
1508,1281,8
1509,2583,12
1510,2583,12
1511,1560,7
1512,1160,16
1513,1560,7
1514,2060,17
1515,1160,16
1516,1160,16
1517,2705,4
1518,2522,5
1519,2060,17
1520,1180,13
1521,50,2
1522,2705,4
1523,2585,24
1524,40,18
1525,1920,9
1526,2705,4
1527,1280,3
1528,40,18
1529,1560,7
1530,1281,8
1531,1300,14
1532,1560,7
1533,2522,5
1534,2583,12
1535,1280,3
1536,1160,16
1537,2462,15
1538,2583,12
1539,1920,9
1540,2280,1
1541,1920,9
1542,1140,11
1543,2060,17
1544,2582,6
1545,2280,1
1546,2060,17
1547,50,2
1548,2403,10
1549,2280,1
1550,2522,5
1551,1920,9
1552,2403,10
1553,1280,3
1554,1160,16
1555,40,18
1556,2522,5
1557,1300,14
1558,2220,22
1559,1302,21
1560,1301,26
1561,1281,8
1562,2280,1
1563,2585,24
1564,2583,12
1565,2705,4
1566,10,0
1567,40,18
1568,40,18
1569,2403,10
1570,1560,7
1571,1160,16
1572,2280,1
1573,2582,6
1574,1160,16
1575,1320,20
1576,40,18
1577,2705,4
1578,2705,4
1579,2280,1
1580,1302,21
1581,2583,12
1582,2060,17
1583,2280,1
1584,2462,15
1585,1160,16
1586,2403,10
1587,2522,5
1588,1300,14
1589,10,0
1590,50,2
1591,10,0
1592,1160,16
1593,2280,1
1594,2583,12
1595,2462,15
1596,2060,17
1597,1280,3
1598,2403,10
1599,1560,7
1600,2585,24
1601,2583,12
1602,1300,14
1603,2280,1
1604,2280,1
1605,1920,9
1606,1560,7
1607,50,2
1608,2522,5
1609,2280,1
1610,1320,20
1611,2403,10
1612,2060,17
1613,2705,4
1614,2462,15
1615,2583,12
1616,2583,12
1617,50,2
1618,2583,12
1619,1300,14
1620,1300,14
1621,1280,3
1622,2583,12
1623,2583,12
1624,2705,4
1625,2583,12
1626,2522,5
1627,2522,5
1628,1560,7
1629,2583,12
1630,2522,5
1631,2522,5
1632,10,0
1633,2583,12
1634,2585,24
1635,2583,12
1636,1920,9
1637,2705,4
1638,1320,20
1639,1280,3
1640,1320,20
1641,10,0
1642,1300,14
1643,1180,13
1644,1920,9
1645,1302,21
1646,1560,7
1647,2585,24
1648,1560,7
1649,1302,21
1650,1140,11
1651,2705,4
1652,1320,20
1653,2060,17
1654,2583,12
1655,1560,7
1656,1940,25
1657,1300,14
1658,1320,20
1659,1300,14
1660,2585,24
1661,1180,13
1662,1560,7
1663,1280,3
1664,1920,9
1665,10,0
1666,10,0
1667,1300,14
1668,1140,11
1669,2220,22
1670,2583,12
1671,2705,4
1672,10,0
1673,1300,14
1674,1320,20
1675,1280,3
1676,2705,4
1677,1301,26
1678,2583,12
1679,2403,10
1680,1300,14
1681,1920,9
1682,60,19
1683,1160,16
1684,2462,15
1685,2583,12
1686,1560,7
1687,2280,1
1688,2403,10
1689,1920,9
1690,2583,12
1691,1300,14
1692,50,2
1693,1920,9
1694,1302,21
1695,2585,24
1696,60,19
1697,1180,13
1698,2060,17
1699,2583,12
1700,1560,7
1701,1302,21
1702,1302,21
1703,2583,12
1704,1320,20
1705,50,2
1706,1302,21
1707,2280,1
1708,50,2
1709,2583,12
1710,1280,3
1711,1560,7
1712,50,2
1713,2060,17
1714,2522,5
1715,2280,1
1716,2522,5
1717,1560,7
1718,2403,10
1719,1180,13
1720,2583,12
1721,1281,8
1722,2060,17
1723,50,2
1724,40,18
1725,40,18
1726,1160,16
1727,1280,3
1728,1302,21
1729,2280,1
1730,2582,6
1731,2583,12
1732,1300,14
1733,2280,1
1734,1560,7
1735,2522,5
1736,2403,10
1737,1300,14
1738,2280,1
1739,2462,15
1740,1920,9
1741,2522,5
1742,2522,5
1743,1320,20
1744,2582,6
1745,2403,10
1746,1300,14
1747,2705,4
1748,2705,4
1749,2403,10
1750,1302,21
1751,1140,11
1752,1560,7
1753,1140,11
1754,1140,11
1755,1281,8
1756,1280,3
1757,1920,9
1758,2582,6
1759,2583,12
1760,2583,12
1761,1160,16
1762,2582,6
1763,50,2
1764,2585,24
1765,2585,24
1766,10,0
1767,1320,20
1768,1320,20
1769,2583,12
1770,1920,9
1771,2280,1
1772,1280,3
1773,1160,16
1774,2060,17
1775,2060,17
1776,10,0
1777,1280,3
1778,2705,4
1779,2060,17
1780,2522,5
1781,2705,4
1782,2060,17
1783,1140,11
1784,2585,24
1785,2403,10
1786,1302,21
1787,2522,5
1788,2403,10
1789,2462,15
1790,2060,17
1791,1560,7
1792,2583,12
1793,1280,3
1794,1560,7
1795,1320,20
1796,2583,12
1797,2583,12
1798,2583,12
1799,2220,22
1800,1920,9
1801,2583,12
1802,2220,22
1803,2905,23
1804,2585,24
1805,1301,26
1806,40,18
1807,2583,12
1808,1302,21
1809,1320,20
1810,1280,3
1811,1920,9
1812,1140,11
1813,1160,16
1814,1320,20
1815,1281,8
1816,50,2
1817,2583,12
1818,40,18
1819,1940,25
1820,1300,14
1821,1920,9
1822,1300,14
1823,1320,20
1824,2585,24
1825,2585,24
1826,1280,3
1827,1281,8
1828,2583,12
1829,2403,10
1830,2582,6
1831,2060,17
1832,2583,12
1833,2705,4
1834,2522,5
1835,1560,7
1836,2522,5
1837,2403,10
1838,2280,1
1839,2462,15
1840,1280,3
1841,40,18
1842,2060,17
1843,1560,7
1844,1180,13
1845,1320,20
1846,1301,26
1847,1160,16
1848,60,19
1849,2705,4
1850,1920,9
1851,2705,4
1852,40,18
1853,1281,8
1854,2705,4
1855,50,2
1856,2280,1
1857,2280,1
1858,1140,11
1859,1560,7
1860,1280,3
1861,2583,12
1862,2585,24
1863,1160,16
1864,2705,4
1865,2583,12
1866,1300,14
1867,2060,17
1868,40,18
1869,1160,16
1870,2060,17
1871,2583,12
1872,1302,21
1873,1560,7
1874,1320,20
1875,1280,3
1876,2220,22
1877,2522,5
1878,2583,12
1879,1302,21
1880,40,18
1881,2585,24
1882,2280,1
1883,2583,12
1884,1300,14
1885,1300,14
1886,2583,12
1887,1320,20
1888,10,0
1889,2403,10
1890,40,18
1891,1320,20
1892,1940,25
1893,2583,12
